Start Date,1/1/2011,,
End Date,12/31/2023,,
,,,
,LH1 Comdty,C 1 Comdty,SM1 Comdty
,Last Price,Last Price,Last Price
Dates,PX_LAST,PX_LAST,PX_LAST
1/3/2011,77.975,620.5,365.7
1/4/2011,77.3,608.5,364.7
1/5/2011,78.025,619.25,369.3
1/6/2011,79.775,602,365.2
1/7/2011,79.425,595,359.1
1/10/2011,79.7,607,366.8
1/11/2011,79.975,607,359.2
1/12/2011,81.125,631,377.4
1/13/2011,80.3,642.5,378.6
1/14/2011,79.525,648.75,377
1/17/2011,79.525,648.75,377
1/18/2011,80.475,659.5,383.4
1/19/2011,80,641.25,383.3
1/20/2011,80.275,654,385.3
1/21/2011,80.325,657.25,379.6
1/24/2011,80.65,655.25,380.2
1/25/2011,81.825,644,372.6
1/26/2011,83.025,657.75,374.4
1/27/2011,83.95,650.75,377.4
1/28/2011,85.75,644,377
1/31/2011,87.25,659.5,380.3
2/1/2011,85.075,666,390
2/2/2011,84.025,669.25,386.9
2/3/2011,83.35,662.5,386.4
2/4/2011,84.5,678.5,383.2
2/7/2011,84.95,674.75,382.4
2/8/2011,84.825,673.75,385.7
2/9/2011,85.175,698,388.6
2/10/2011,86.725,698.5,382.5
2/11/2011,86.4,706.5,378.1
2/14/2011,85.675,695.75,375.5
2/15/2011,92.55,690.5,366.6
2/16/2011,91.9,690.5,364.3
2/17/2011,92.175,712.75,372.7
2/18/2011,92.275,709.75,362
2/21/2011,92.275,709.75,362
2/22/2011,92.275,679.75,346.5
2/23/2011,90.975,691.5,351.8
2/24/2011,89.5,685.75,350.4
2/25/2011,90.2,712,359.7
2/28/2011,88.8,722.5,356.4
3/1/2011,88.1,727.25,358
3/2/2011,88.25,714,359
3/3/2011,88.8,729.75,366.8
3/4/2011,88.475,721.25,363.8
3/7/2011,86.4,710.75,358.1
3/8/2011,89.125,698.75,355.4
3/9/2011,89.75,695,348.5
3/10/2011,89.85,676.25,349.1
3/11/2011,88.15,659.25,346.1
